id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:tree health condition,field:tree canopy symptoms,field:dieback percent,field:percent canopy affected (%),field:number of additional unhealthy trees (of same species) in area (within sight),"field:other factors - are there signs or symptoms of insect, diseases, or other damage?",field:optional - what 'other factors' were observed?,field:optional - tree size,field:optional - access to water,field:optional - estimated time spent to make this observation (# of minutes),field:tree number (from google map) if applicable,field:tree number (from arboreta or other dataset) if applicable,field:optional - signs of sap sucker feeding?,field:notes,field:are baby redcedar trees present within sight?,field:brief tree health description,field:did the tree have any bark discoloration (eg. browning),field:evidence of wood borers or bark beetles?,field:leaf production or drop timing,field:location name - community spaces,field:location type - community spaces,field:most prevalent understory species,field:optional - can we follow up with you?,field:optional - did the tree have heat damage,field:optional - site hydrology,field:optional - site type,field:optional - site/area disturbance level,field:optional - site/location description,field:optional - slope position,field:optional - timing of symptoms estimate,field:optional - were there any other unhealthy plant species on the site?,field:percent of trees (of same species) within sight that are unhealthy,field:plant health condition,field:plant health symptom - rhododendron,field:powdery mildew - percent coverage,field:powdery mildew?,field:relative cone crop,field:sample submitted to laboratory?,field:signs of sooty bark disease?,field:suspected phytophthora infection?,field:tree canopy symptoms - birch,field:tree canopy symptoms - maple,field:tree canopy symptoms - wrc - simplified,field:tree condition,field:tree diameter,field:tree diameter (inches),field:tree equity score,field:tree health issue,field:tree height total (ft),field:tree number,field:urban tree health condition
26204238,0a4cd6b7-d30c-4cc0-965e-70d98188eb5f,Sat Jun 01 2019 10:43:08 GMT-0700 (PDT),2019-06-01,2019-06-01 17:43:08 UTC,Pacific Time (US & Canada),1494532,angelique_k,Angelique,2019-06-01 20:57:27 UTC,2021-04-13 16:09:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/26204238,https://inaturalist-open-data.s3.amazonaws.com/photos/40668160/medium.jpg,,"",,2,0,false,3,"Mount Douglas Park, Victoria, BC, CA",48.4959589876,-123.3322602239,82,,,,82,,open,false,,,"Saanich, British Columbia",Capital,British Columbia,Canada,British Columbia,Capital,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,,"Healthy, no dieback(0%)",0,Not sure,No selection,No selection,,"",,,,"",,,,,,,,,No Selection,,No Selection,Urban,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Urban yard or open park grounds,No selection,No selection,No selection,,,,,,,,,,,,,,,,,,,,
26884358,ba557841-7846-4dec-ab48-c286fcfb911b,Tue Jun 11 2019 20:14:12 GMT-0700 (PDT),2019-06-11,2019-06-12 03:14:12 UTC,Pacific Time (US & Canada),1494532,angelique_k,Angelique,2019-06-12 21:40:08 UTC,2021-04-13 16:11:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/26884358,https://inaturalist-open-data.s3.amazonaws.com/photos/41772488/medium.jpg,,"",,1,0,false,3,"Mount Tolmie Park, Victoria, BC, CA",48.4566683189,-123.324836362,51,,,,51,,open,false,,,"Saanich, British Columbia",Capital,British Columbia,Canada,British Columbia,Capital,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,,"Healthy, no dieback(0%)",0,Not sure,No selection,No selection,,"",,,,"",,,,,,,,,No Selection,,No Selection,Urban,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Urban yard or open park grounds,No selection,No selection,No selection,,,,,,,,,,,,,,,,,,,,
27216264,4017c18a-a72f-4b29-b686-5ab45e66cf06,2019/06/16 10:47 AM HST,2019-06-16,2019-06-16 20:47:00 UTC,Hawaii,652298,giselle9,Giselle Blythe,2019-06-18 16:18:14 UTC,2021-09-06 17:53:39 UTC,research,CC0,https://www.inaturalist.org/observations/27216264,https://inaturalist-open-data.s3.amazonaws.com/photos/42322688/medium.jpeg,,"",,1,0,false,,"Marrowstone, WA 98358, USA",48.0204805556,-122.6987,10,,,,10,,open,false,,,,Jefferson,Washington,United States,Washington,Jefferson,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,,"Healthy, no dieback(0%)",0,No,,,,60,,,,This obs was just before construction started on new bridge and opening up isthmus channel for better tidal flow. Need to go back and recheck.,,,,,,,,,Yes,,"Wetland, lots of water",Rural,"None - natural forest, far from development",Forest edge,Other (please describe in Notes),,No,0,,,,,,,,,,,,,,,,,,,
27742079,dfccb23d-197d-4f68-9dc2-d09615b0ef4c,Wed Jun 26 2019 10:36:05 GMT-0700 (PDT),2019-06-26,2019-06-26 17:36:05 UTC,Pacific Time (US & Canada),1494532,angelique_k,Angelique,2019-06-27 05:31:20 UTC,2021-04-13 16:06:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/27742079,https://inaturalist-open-data.s3.amazonaws.com/photos/43196675/medium.jpg,,"",Western red cedar dying while other plants around it remain green. Twinflower spread as a mat near its roots. Right at parking lot to the trestle,1,0,false,3,"Cowichan River Provincial Park, , BC, CA",48.7738250189,-123.9218526706,893,,,,893,,open,false,,,,Cowichan Valley,British Columbia,Canada,British Columbia,Cowichan Valley,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Tree is dead,,tree is dead,0,Not sure,No selection,No selection,,"",,,,"",,,,,,,,,No Selection,,No Selection,Urban,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Urban yard or open park grounds,No selection,No selection,No selection,,,,,,,,,,,,,,,,,,,,
28711929,5e679651-d5f0-4122-9982-3c5eb735305b,Fri Jul 12 2019 18:58:10 GMT-0700 (PDT),2019-07-12,2019-07-13 01:58:10 UTC,Pacific Time (US & Canada),1494532,angelique_k,Angelique,2019-07-13 03:40:30 UTC,2021-04-13 16:14:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/28711929,https://inaturalist-open-data.s3.amazonaws.com/photos/44776198/medium.jpg,,"",Another one turning red,1,0,false,3,"1600 Elm St, Victoria, BC, CA",48.4595301194,-123.3357877623,181,,,,181,,open,false,,,"Saanich, British Columbia",Capital,British Columbia,Canada,British Columbia,Capital,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Old Dead Top (needles already gone),,30-59% of the canopy is unhealthy,0,Not sure,No selection,No selection,,"",,,,More recent observation of this tree done this year. It's completely dead now.,,,,,,,,,No Selection,,No Selection,Urban,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Urban yard or open park grounds,No selection,No selection,No selection,,,,,,,,,,,,,,,,,,,,
29603942,711ab22b-94b4-4ba3-b386-eaefe65725d0,Fri Jul 26 2019 15:14:09 GMT-0700 (PDT),2019-07-26,2019-07-26 22:14:09 UTC,Pacific Time (US & Canada),1494532,angelique_k,Angelique,2019-07-26 23:06:06 UTC,2021-04-13 16:16:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29603942,https://inaturalist-open-data.s3.amazonaws.com/photos/46210358/medium.jpg,,"",,1,0,false,3,"Henderson Park, Victoria, BC, CA",48.4579203438,-123.3131297868,30,,,,30,,open,false,,,Oak Bay,Capital,British Columbia,Canada,British Columbia,Capital,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,,"Healthy, no dieback(0%)",0,Not sure,No selection,No selection,,"",,,,"",,,,,,,,,No Selection,,No Selection,Urban,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Urban yard or open park grounds,No selection,No selection,No selection,,,,,,,,,,,,,,,,,,,,
32015164,ad32f9e3-60fd-40f7-a2dd-aabb343b29bd,Mon Sep 02 2019 11:11:28 GMT-0700 (PDT),2019-09-02,2019-09-02 18:11:28 UTC,Pacific Time (US & Canada),1494532,angelique_k,Angelique,2019-09-02 22:05:36 UTC,2021-05-07 23:16:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/32015164,https://inaturalist-open-data.s3.amazonaws.com/photos/50170340/medium.jpg,,"",Looks dried out and dying even though we had a wet summer. Surrounded by long needle pine trees. ,1,0,false,3,"Vancouver Island, Victoria, BC, CA",48.4377004757,-123.3262594284,32,,,,32,,open,false,,,"Saanich, British Columbia",Capital,British Columbia,Canada,British Columbia,Capital,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Branch Dieback or 'Flagging',,60-99% of the canopy is unhealthy,0,Not sure,No selection,No selection,,"",,,,Surrounded by pines - different associations,,,,,,,,,No Selection,,No Selection,Urban,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Urban yard or open park grounds,No selection,No selection,No selection,,,,,,,,,,,,,,,,,,,,
37020791,e8db184b-d2f8-40b0-bf49-b1ca5ca9f18e,Fri Dec 27 2019 15:59:51 GMT-0800 (PST),2019-12-27,2019-12-27 23:59:51 UTC,Pacific Time (US & Canada),1494532,angelique_k,Angelique,2019-12-28 04:39:01 UTC,2024-01-21 18:03:16 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/37020791,https://inaturalist-open-data.s3.amazonaws.com/photos/58617936/medium.jpg,,"",Sad cypresses with no fungi underneath,1,0,true,3,"Vancouver Island, Victoria, BC, CA",48.4522189778,-123.3339328835,22,,,,22,,,false,,,"Saanich, British Columbia",Capital,British Columbia,Canada,British Columbia,Capital,whitecedars,Thuja,arborvitaes,Plantae,48253,,Branch Dieback or 'Flagging',,30-59% of the canopy is unhealthy,1,Not sure,No selection,No selection,,"",,,,"",,,,,,,,,No Selection,,No Selection,Urban,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Urban yard or open park grounds,No selection,No selection,No selection,,,,,,,,,,,,,,,,,,,,
37281634,f1d58d23-5268-4f8a-af74-d0b88c1618a7,Sat Jan 04 2020 11:27:30 GMT-0800 (PST),2020-01-04,2020-01-04 19:27:30 UTC,Pacific Time (US & Canada),1494532,angelique_k,Angelique,2020-01-04 23:02:42 UTC,2021-04-17 20:28:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37281634,https://inaturalist-open-data.s3.amazonaws.com/photos/59073753/medium.jpg,,"",,1,0,false,3,"Frank Hobbs Elementary School, Victoria, BC, CA",48.4656098637,-123.3000747462,46,,,,46,,open,false,,,"Saanich, British Columbia",Capital,British Columbia,Canada,British Columbia,Capital,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,,"Healthy, no dieback(0%)",0,Not sure,No selection,No selection,,"",,,,"",,,,,,,,,No Selection,,No Selection,Urban,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Urban yard or open park grounds,No selection,No selection,No selection,,,,,,,,,,,,,,,,,,,,
48715992,8b100124-4df1-456e-99fb-325861cfc156,2020/06/05 10:50 AM PDT,2020-06-05,2020-06-05 17:50:00 UTC,Pacific Time (US & Canada),1078020,northvandad,John Martin,2020-06-06 23:03:36 UTC,2021-01-10 06:04:34 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/48715992,https://inaturalist-open-data.s3.amazonaws.com/photos/77311652/medium.jpg,,"",,1,0,false,,"Maple Ridge, BC, Canada",49.2104824,-122.5237505,,,,,,,open,false,,,,Greater Vancouver,British Columbia,Canada,British Columbia,Greater Vancouver,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,,"Healthy, no dieback(0%)",0,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49543580,15e14f7d-85f7-46f1-93fe-2d71bf35d92a,2020-06-11 5:51:26 PM PDT,2020-06-11,2020-06-12 00:51:26 UTC,Pacific Time (US & Canada),2785976,alexis_mushroom,Alexis Evans,2020-06-14 05:43:50 UTC,2024-12-26 19:43:42 UTC,research,,https://www.inaturalist.org/observations/49543580,https://static.inaturalist.org/photos/78652274/medium.jpeg,,"",,1,0,false,2,"MT HOOD PRKDL, OR 97041, USA",45.4021694444,-121.5705472222,,,,,,,open,false,gps,gps,,Hood River,Oregon,United States,Oregon,Hood River,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,0,"Healthy, no dieback(0%)",0,Not sure,,,,,,,,Redcedar growing around a Doug fir,,,,,,,,,,Not Sure,,Rural,"None - natural forest, far from development",,,,,,,,,,,,,,,,,,,,,,,,
50208705,cba5548c-121a-4e45-8ac5-3ba2a8842290,Fri Jun 19 2020 16:10:32 GMT-0700 (PDT),2020-06-19,2020-06-19 23:10:32 UTC,Pacific Time (US & Canada),3064171,fernsibley,Fern Wexler,2020-06-19 23:54:57 UTC,2021-09-03 06:32:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/50208705,https://inaturalist-open-data.s3.amazonaws.com/photos/79729599/medium.jpg,,"",,1,0,false,3,"Oaks Bottom Wildlife Refuge, Portland, OR, US",45.47232,-122.653725,,,,,,,open,false,,,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Branch Dieback or 'Flagging',,1-29% of the canopy is unhealthy,Not sure,"Yes (please elaborate in Notes, add Picture if possible)",Other (please describe in Notes),Medium,,,,,,Human-caused damage.,,,,,,,,,,,,,"Medium (moderately used trails, etc)",Inside a forest canopy,,,,,,,,,,,,,,,,,,,,,,,
51552951,3f37be4f-5074-4665-8224-bca9aadbf99c,2020/06/29 12:41 PM PDT,2020-06-29,2020-06-29 19:41:00 UTC,Pacific Time (US & Canada),1078020,northvandad,John Martin,2020-07-01 05:33:09 UTC,2021-01-10 06:03:32 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/51552951,https://inaturalist-open-data.s3.amazonaws.com/photos/81916224/medium.jpg,,"",,1,0,false,,"Greater Vancouver, British Columbia, Canada",49.3392528,-122.9737917,,,,,,,open,false,,,,Greater Vancouver,British Columbia,Canada,British Columbia,Greater Vancouver,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,,"Healthy, no dieback(0%)",0,Not sure,,,,,,,,,,,,,,,,,,,,,,Inside a forest canopy,,,,,,,,,,,,,,,,,,,,,,,
51656142,651604d3-b65c-4265-9e35-a04ec845a283,2020-07-01 5:33:58 PM PDT,2020-07-01,2020-07-02 00:33:58 UTC,Pacific Time (US & Canada),2823934,outdoorobserver,Radu Scurtescu,2020-07-02 02:35:25 UTC,2021-04-28 02:26:04 UTC,research,,https://www.inaturalist.org/observations/51656142,https://static.inaturalist.org/photos/82084814/medium.jpeg,,"",,1,0,false,2,"Mount Seymour, CA-BC-GV, CA-BC, CA",49.319717218,-122.9689331866,29,,,,29,,open,false,,,,Greater Vancouver,British Columbia,Canada,British Columbia,Greater Vancouver,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Healthy,,"Healthy, no dieback(0%)",0,Not sure,No selection,,,,,,,"",,,,,,,,,No Selection,,No Selection,Urban,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Urban yard or open park grounds,No selection,,,,,,,,,,,,,,,,,,,,,,
51849686,86fec5dc-3699-4e9f-b83a-53e1ebdfe5ad,Fri Jul 03 2020 15:20:51 GMT-0700 (PDT),2020-07-03,2020-07-03 22:20:51 UTC,Pacific Time (US & Canada),3064171,fernsibley,Fern Wexler,2020-07-03 23:18:36 UTC,2021-03-20 04:13:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/51849686,https://inaturalist-open-data.s3.amazonaws.com/photos/82400322/medium.jpg,,"",,1,0,false,3,"Mt. Tabor Park, Portland, OR, US",45.5162883333,-122.5966416667,,,,,,,open,false,,,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,,Thinning Canopy,,"Healthy, no dieback(0%)",2-3,"Yes (please elaborate in Notes, add Picture if possible)",,Medium,,,,,,Several signs of insect damage. Unsure what kind of insect.,,,,,,,,,,,,,"Medium (moderately used trails, etc)",Urban yard or open park grounds,,,,,,,,,,,,,,,,,,,,,,,
